2026-03-28 13:49:50,565 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0871949-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 14:00:27,228 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872000-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 14:03:27,414 | SAME_GENERATED | header=ZCZC-EAS-WSA-065100-065531-065532-065533-065534-065521-065522-065523-065524+1456-0872003-BTTRADIO- | tone=WXR | attn=8.0s | audio=output/sk-saskatoon/en-CA/alert_urn:oid:2.49.0.1.124.2694199429.2026.wav | duration=64.02s | sr=22050
2026-03-28 14:05:26,136 | SAME_GENERATED | header=ZCZC-EAS-WSA-065100-065531-065532-065533-065534-065521-065522-065523-065524+1455-0872004-BTTRADIO- | tone=WXR | attn=8.0s | audio=output/sk-saskatoon/en-CA/alert_urn:oid:2.49.0.1.124.4277479982.2026.wav | duration=92.06s | sr=22050
2026-03-28 14:10:05,220 | SAME_GENERATED | header=ZCZC-EAS-WSA-065100-065531-065532-065533-065534-065521-065522-065523-065524+1449-0872009-BTTRADIO- | tone=WXR | attn=8.0s | audio=output/sk-saskatoon/en-CA/alert_urn:oid:2.49.0.1.124.2289681558.2026.wav | duration=83.30s | sr=22050
2026-03-28 14:14:41,452 | SAME_GENERATED | header=ZCZC-EAS-WSA-065100-065531-065532-065533-065534-065521-065522-065523-065524+1445-0872014-BTTRADIO- | tone=WXR | attn=8.0s | audio=output/sk-saskatoon/en-CA/alert_urn:oid:2.49.0.1.124.1458855557.2026.wav | duration=111.95s | sr=22050
2026-03-28 14:22:39,178 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872022-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 14:26:46,664 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872026-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 14:31:19,470 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872031-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 14:41:07,892 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872041-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 14:48:18,534 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872048-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 15:02:52,079 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872102-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 15:09:55,080 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872109-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 15:12:50,853 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0872112-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
